[2026-06-09 15:10:59.658][TRC][Px24456][Tx46046] asst::RoguelikeCollapsalParadigmConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.665][TRC][Px24456][Tx46046] asst::RoguelikeCollapsalParadigmConfig::parse | enter
[2026-06-09 15:10:59.665][TRC][Px24456][Tx46046] asst::RoguelikeCollapsalParadigmConfig::parse | leave, 0 ms
[2026-06-09 15:10:59.665][TRC][Px24456][Tx46046] asst::RoguelikeCollapsalParadigmConfig :: asst::AbstractConfig::load | leave, 6 ms
[2026-06-09 15:10:59.665][TRC][Px24456][Tx46046] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::RoguelikeCoppersConfig::parse | enter
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::RoguelikeCoppersConfig::parse | leave, 0 ms
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | leave, 6 ms
[2026-06-09 15:10:59.672][INF][Px24456][Tx46046] asst::ResourceLoader::load ret 1
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::ResourceLoader::load | leave, 2857 ms
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::Assistant::Assistant | enter
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::Controller::Controller | enter
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::Controller::Controller | leave, 0 ms
[2026-06-09 15:10:59.672][TRC][Px24456][Tx46046] asst::Assistant::Assistant | leave, 0 ms
[2026-06-09 15:10:59.674][TRC][Px24456][Tx28486] asst::Assistant::msg_proc | enter
[2026-06-09 15:10:59.674][TRC][Px24456][Tx65152] asst::Assistant::call_proc | enter
[2026-06-09 15:10:59.674][TRC][Px24456][Tx64318] asst::Assistant::working_proc | enter
[2026-06-09 15:10:59.677][INF][Px24456][Tx46046] asst::Assistant::set_instance_option | key 2 value minitouch
[2026-06-09 15:10:59.677][INF][Px24456][Tx46046] asst::Assistant::set_instance_option | key 3 value 0
[2026-06-09 15:10:59.678][INF][Px24456][Tx46046] skip sync_params, retry when connect
[2026-06-09 15:10:59.678][INF][Px24456][Tx46046] asst::Assistant::set_instance_option | key 4 value 0
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::ResourceLoader::load | enter
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | enter
[2026-06-09 15:11:02.773][INF][Px24456][Tx23692] record path resource\onnx\skill_ready_cls.onnx
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | leave, 0 ms
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | enter
[2026-06-09 15:11:02.773][INF][Px24456][Tx23692] record path resource\onnx\deploy_direction_cls.onnx
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | leave, 0 ms
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | enter
[2026-06-09 15:11:02.773][INF][Px24456][Tx23692] record path resource\onnx\operators_det.onnx
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OnnxSessions::load | leave, 0 ms
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OcrPack::load | enter
[2026-06-09 15:11:02.773][INF][Px24456][Tx23692] load resource\PaddleOCR
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OcrPack::load | leave, 0 ms
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OcrPack::load | enter
[2026-06-09 15:11:02.773][INF][Px24456][Tx23692] load resource\PaddleCharOCR
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::OcrPack::load | leave, 0 ms
[2026-06-09 15:11:02.773][TRC][Px24456][Tx23692] asst::GeneralConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::GeneralConfig::parse | enter
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::GeneralConfig::parse | leave, 0 ms
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::GeneralConfig :: asst::AbstractConfig::load | leave, 0 ms
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::RecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::RecruitConfig::parse | enter
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::RecruitConfig::clear | enter
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::RecruitConfig::clear | leave, 0 ms
[2026-06-09 15:11:02.774][TRC][Px24456][Tx23692] asst::RecruitConfig::parse | leave, 0 ms
[2026-06-09 15:11:02.775][TRC][Px24456][Tx23692] asst::RecruitConfig :: asst::AbstractConfig::load | leave, 0 ms
[2026-06-09 15:11:02.775][TRC][Px24456][Tx23692] asst::BattleDataConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:11:02.782][TRC][Px24456][Tx23692] asst::BattleDataConfig::parse | enter
[2026-06-09 15:11:02.786][TRC][Px24456][Tx23692] asst::BattleDataConfig::parse | leave, 4 ms
