[2026-06-08 17:11:29.015][TRC][Px18108][Tx2126] asst::RoguelikeFoldartalConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:29.026][TRC][Px18108][Tx2126] asst::RoguelikeFoldartalConfig::parse | enter
[2026-06-08 17:11:29.026][TRC][Px18108][Tx2126] asst::RoguelikeFoldartalConfig::parse | leave, 0 ms
[2026-06-08 17:11:29.026][TRC][Px18108][Tx2126] asst::RoguelikeFoldartalConfig :: asst::AbstractConfig::load | leave, 11 ms
[2026-06-08 17:11:29.026][TRC][Px18108][Tx2126] asst::RoguelikeCollapsalParadigmConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:29.027][TRC][Px18108][Tx2126] asst::RoguelikeCollapsalParadigmConfig::parse | enter
[2026-06-08 17:11:29.027][TRC][Px18108][Tx2126] asst::RoguelikeCollapsalParadigmConfig::parse | leave, 0 ms
[2026-06-08 17:11:29.027][TRC][Px18108][Tx2126] asst::RoguelikeCollapsalParadigmConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-06-08 17:11:29.027][TRC][Px18108][Tx2126] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:29.038][TRC][Px18108][Tx2126] asst::RoguelikeCoppersConfig::parse | enter
[2026-06-08 17:11:29.038][TRC][Px18108][Tx2126] asst::RoguelikeCoppersConfig::parse | leave, 0 ms
[2026-06-08 17:11:29.040][TRC][Px18108][Tx2126] asst::RoguelikeCoppersConfig :: asst::AbstractConfig::load | leave, 11 ms
[2026-06-08 17:11:29.040][INF][Px18108][Tx2126] asst::ResourceLoader::load ret 1
[2026-06-08 17:11:29.040][TRC][Px18108][Tx2126] asst::ResourceLoader::load | leave, 1912 ms
[2026-06-08 17:11:29.041][TRC][Px18108][Tx2126] asst::Assistant::Assistant | enter
[2026-06-08 17:11:29.041][TRC][Px18108][Tx2126] asst::Controller::Controller | enter
[2026-06-08 17:11:29.041][TRC][Px18108][Tx2126] asst::Controller::Controller | leave, 0 ms
[2026-06-08 17:11:29.041][TRC][Px18108][Tx2126] asst::Assistant::Assistant | leave, 0 ms
[2026-06-08 17:11:29.041][TRC][Px18108][Tx25864] asst::Assistant::msg_proc | enter
[2026-06-08 17:11:29.041][TRC][Px18108][Tx59524] asst::Assistant::call_proc | enter
[2026-06-08 17:11:29.042][TRC][Px18108][Tx232] asst::Assistant::working_proc | enter
[2026-06-08 17:11:29.046][INF][Px18108][Tx2126] asst::Assistant::set_instance_option | key 2 value minitouch
[2026-06-08 17:11:29.046][INF][Px18108][Tx2126] asst::Assistant::set_instance_option | key 3 value 0
[2026-06-08 17:11:29.046][INF][Px18108][Tx2126] skip sync_params, retry when connect
[2026-06-08 17:11:29.046][INF][Px18108][Tx2126] asst::Assistant::set_instance_option | key 4 value 0
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::ResourceLoader::load | enter
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | enter
[2026-06-08 17:11:33.453][INF][Px18108][Tx12757] record path resource\onnx\skill_ready_cls.onnx
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | enter
[2026-06-08 17:11:33.453][INF][Px18108][Tx12757] record path resource\onnx\deploy_direction_cls.onnx
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | enter
[2026-06-08 17:11:33.453][INF][Px18108][Tx12757] record path resource\onnx\operators_det.onnx
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OcrPack::load | enter
[2026-06-08 17:11:33.453][INF][Px18108][Tx12757] load resource\PaddleOCR
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OcrPack::load | leave, 0 ms
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OcrPack::load | enter
[2026-06-08 17:11:33.453][INF][Px18108][Tx12757] load resource\PaddleCharOCR
[2026-06-08 17:11:33.453][TRC][Px18108][Tx12757] asst::OcrPack::load | leave, 0 ms
[2026-06-08 17:11:33.454][TRC][Px18108][Tx12757] asst::GeneralConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:33.454][TRC][Px18108][Tx12757] asst::GeneralConfig::parse | enter
